fun_name,ea,size,has_input_masks,tri_slot_hits,polarity_pair,large_effects_call,score,candidate_type,source_file
FUN_00008528,34088,1884,True,4,False,True,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00008528,34088,1884,True,4,False,True,7,pickup_or_throw_logic,exports\bundle_MAIN.EXE.jsonl
FUN_000090e0,37088,1104,True,6,False,True,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000090e0,37088,1104,True,6,False,True,7,pickup_or_throw_logic,exports\bundle_MAIN.EXE.jsonl
FUN_00009708,38664,608,True,3,False,True,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00009708,38664,608,True,3,False,True,7,pickup_or_throw_logic,exports\bundle_MAIN.EXE.jsonl
FUN_0001a348,107336,104,True,3,False,True,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0001a348,107336,104,True,3,False,True,7,pickup_or_throw_logic,exports\bundle_MAIN.EXE.jsonl
FUN_00038748,231240,2172,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00038748,231240,2172,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00038748,231240,2172,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00038748,231240,2172,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0003baf8,244472,3004,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_0003baf8,244472,3004,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_0003baf8,244472,3004,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0003baf8,244472,3004,True,7,True,False,7,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00005e70,24176,616,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00005e70,24176,616,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00005e70,24176,616,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00005e70,24176,616,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ROT.BIN.jsonl
FUN_000063c4,25540,360,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_000063c4,25540,360,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000063c4,25540,360,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000063c4,25540,360,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ROT.BIN.jsonl
FUN_00008528,34088,1884,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00008528,34088,1884,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000090e0,37088,1104,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_000090e0,37088,1104,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00009708,38664,608,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00009708,38664,608,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000157c4,88004,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_000157c4,88004,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000157c4,88004,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000157c4,88004,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_LEGGIT.EXE.jsonl
FUN_0001a320,107296,40,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_0001a320,107296,40,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0001a320,107296,40,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0001a320,107296,40,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_MAIN.EXE.jsonl
FUN_0001a348,107336,104,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_0001a348,107336,104,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0001a804,108548,616,False,3,False,True,5,secondary_cb,exports\bundle_ghidra.jsonl
FUN_0001a804,108548,616,False,3,False,True,5,secondary_cb,exports\bundle_MAIN.EXE.jsonl
FUN_00022790,141200,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00022790,141200,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00022790,141200,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00022790,141200,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00026c68,158824,484,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00026c68,158824,484,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00026c68,158824,484,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00026c68,158824,484,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00028fc4,167876,460,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00028fc4,167876,460,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00028fc4,167876,460,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00028fc4,167876,460,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00029c24,171044,1708,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00029c24,171044,1708,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00029c24,171044,1708,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00029c24,171044,1708,True,6,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0002a7c4,174020,260,True,5,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_0002a7c4,174020,260,True,5,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_0002a7c4,174020,260,True,5,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0002a7c4,174020,260,True,5,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0002f200,193024,808,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_0002f200,193024,808,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_0002f200,193024,808,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0002f200,193024,808,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00033f50,212816,2744,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00033f50,212816,2744,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00033f50,212816,2744,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00033f50,212816,2744,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00035088,217224,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00035088,217224,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00035088,217224,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00035088,217224,548,True,3,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00037f88,229256,856,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00037f88,229256,856,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00037f88,229256,856,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00037f88,229256,856,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0003991c,235804,628,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_0003991c,235804,628,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_0003991c,235804,628,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0003991c,235804,628,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00039dac,236972,388,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00039dac,236972,388,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00039dac,236972,388,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00039dac,236972,388,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0003cc28,248872,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_0003cc28,248872,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_0003cc28,248872,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_0003cc28,248872,404,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000402e0,262880,92,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_000402e0,262880,92,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_000402e0,262880,92,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_000402e0,262880,92,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00040a4c,264780,76,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00040a4c,264780,76,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00040a4c,264780,76,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00040a4c,264780,76,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
FUN_00040a98,264856,1628,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_all_plus_demo.jsonl
FUN_00040a98,264856,1628,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_GAME.BIN.jsonl
FUN_00040a98,264856,1628,True,4,False,False,5,pickup_or_throw_logic,exports\bundle_ghidra.jsonl
