# idx,cos,sin,hexPair  meanR=4095.99 varR=0.08 minR=4095.38 maxR=4096.59
188,4007,848,0x03500fa7
189,-848,4007,0x0fa7fcb0
190,4006,854,0x03560fa6
191,-854,4006,0x0fa6fcaa
192,4005,861,0x035d0fa5
193,-861,4005,0x0fa5fca3
194,4003,867,0x03630fa3
195,-867,4003,0x0fa3fc9d
196,4002,873,0x03690fa2
197,-873,4002,0x0fa2fc97
198,4001,879,0x036f0fa1
199,-879,4001,0x0fa1fc91
200,3999,885,0x03750f9f
201,-885,3999,0x0f9ffc8b
202,3998,891,0x037b0f9e
203,-891,3998,0x0f9efc85
204,3996,897,0x03810f9c
205,-897,3996,0x0f9cfc7f
206,3995,904,0x03880f9b
207,-904,3995,0x0f9bfc78
208,3994,910,0x038e0f9a
209,-910,3994,0x0f9afc72
210,3992,916,0x03940f98
211,-916,3992,0x0f98fc6c
212,3991,922,0x039a0f97
213,-922,3991,0x0f97fc66
214,3989,928,0x03a00f95
215,-928,3989,0x0f95fc60
216,3988,934,0x03a60f94
217,-934,3988,0x0f94fc5a
218,3987,940,0x03ac0f93
219,-940,3987,0x0f93fc54
220,3985,946,0x03b20f91
221,-946,3985,0x0f91fc4e
222,3984,953,0x03b90f90
223,-953,3984,0x0f90fc47
224,3982,959,0x03bf0f8e
225,-959,3982,0x0f8efc41
226,3981,965,0x03c50f8d
227,-965,3981,0x0f8dfc3b
228,3979,971,0x03cb0f8b
229,-971,3979,0x0f8bfc35
230,3978,977,0x03d10f8a
231,-977,3978,0x0f8afc2f
232,3976,983,0x03d70f88
233,-983,3976,0x0f88fc29
234,3975,989,0x03dd0f87
235,-989,3975,0x0f87fc23
236,3973,995,0x03e30f85
237,-995,3973,0x0f85fc1d
238,3972,1001,0x03e90f84
239,-1001,3972,0x0f84fc17
240,3970,1007,0x03ef0f82
241,-1007,3970,0x0f82fc11
242,3969,1014,0x03f60f81
243,-1014,3969,0x0f81fc0a
244,3967,1020,0x03fc0f7f
245,-1020,3967,0x0f7ffc04
246,3965,1026,0x04020f7d
247,-1026,3965,0x0f7dfbfe
248,3964,1032,0x04080f7c
249,-1032,3964,0x0f7cfbf8
250,3962,1038,0x040e0f7a
251,-1038,3962,0x0f7afbf2
252,3961,1044,0x04140f79
253,-1044,3961,0x0f79fbec
254,3959,1050,0x041a0f77
255,-1050,3959,0x0f77fbe6
256,3958,1056,0x04200f76
257,-1056,3958,0x0f76fbe0
258,3956,1062,0x04260f74
259,-1062,3956,0x0f74fbda
260,3954,1068,0x042c0f72
261,-1068,3954,0x0f72fbd4
262,3953,1074,0x04320f71
263,-1074,3953,0x0f71fbce
264,3951,1080,0x04380f6f
265,-1080,3951,0x0f6ffbc8
266,3949,1086,0x043e0f6d
267,-1086,3949,0x0f6dfbc2
268,3948,1092,0x04440f6c
269,-1092,3948,0x0f6cfbbc
270,3946,1099,0x044b0f6a
271,-1099,3946,0x0f6afbb5
272,3944,1105,0x04510f68
273,-1105,3944,0x0f68fbaf
274,3943,1111,0x04570f67
275,-1111,3943,0x0f67fba9
276,3941,1117,0x045d0f65
277,-1117,3941,0x0f65fba3
278,3939,1123,0x04630f63
279,-1123,3939,0x0f63fb9d
280,3937,1129,0x04690f61
281,-1129,3937,0x0f61fb97
282,3936,1135,0x046f0f60
283,-1135,3936,0x0f60fb91
284,3934,1141,0x04750f5e
285,-1141,3934,0x0f5efb8b
286,3932,1147,0x047b0f5c
287,-1147,3932,0x0f5cfb85
288,3930,1153,0x04810f5a
289,-1153,3930,0x0f5afb7f
290,3929,1159,0x04870f59
291,-1159,3929,0x0f59fb79
292,3927,1165,0x048d0f57
293,-1165,3927,0x0f57fb73
294,3925,1171,0x04930f55
295,-1171,3925,0x0f55fb6d
296,3923,1177,0x04990f53
297,-1177,3923,0x0f53fb67
298,3921,1183,0x049f0f51
299,-1183,3921,0x0f51fb61
300,3920,1189,0x04a50f50
301,-1189,3920,0x0f50fb5b
302,3918,1195,0x04ab0f4e
303,-1195,3918,0x0f4efb55
304,3916,1201,0x04b10f4c
305,-1201,3916,0x0f4cfb4f
306,3914,1207,0x04b70f4a
307,-1207,3914,0x0f4afb49
308,3912,1213,0x04bd0f48
309,-1213,3912,0x0f48fb43
310,3910,1219,0x04c30f46
311,-1219,3910,0x0f46fb3d
312,3909,1225,0x04c90f45
313,-1225,3909,0x0f45fb37
314,3907,1231,0x04cf0f43
315,-1231,3907,0x0f43fb31
316,3905,1237,0x04d50f41
317,-1237,3905,0x0f41fb2b
318,3903,1243,0x04db0f3f
319,-1243,3903,0x0f3ffb25
320,3901,1249,0x04e10f3d
321,-1249,3901,0x0f3dfb1f
322,3899,1255,0x04e70f3b
323,-1255,3899,0x0f3bfb19
324,3897,1261,0x04ed0f39
325,-1261,3897,0x0f39fb13
326,3895,1267,0x04f30f37
327,-1267,3895,0x0f37fb0d
328,3893,1273,0x04f90f35
329,-1273,3893,0x0f35fb07
330,3891,1279,0x04ff0f33
331,-1279,3891,0x0f33fb01
332,3889,1285,0x05050f31
333,-1285,3889,0x0f31fafb
334,3887,1291,0x050b0f2f
335,-1291,3887,0x0f2ffaf5
336,3885,1297,0x05110f2d
337,-1297,3885,0x0f2dfaef
338,3883,1303,0x05170f2b
339,-1303,3883,0x0f2bfae9
340,3881,1309,0x051d0f29
341,-1309,3881,0x0f29fae3
342,3879,1315,0x05230f27
343,-1315,3879,0x0f27fadd
344,3877,1321,0x05290f25
345,-1321,3877,0x0f25fad7
346,3875,1327,0x052f0f23
347,-1327,3875,0x0f23fad1
348,3873,1332,0x05340f21
349,-1332,3873,0x0f21facc
350,3871,1338,0x053a0f1f
351,-1338,3871,0x0f1ffac6
352,3869,1344,0x05400f1d
353,-1344,3869,0x0f1dfac0
354,3867,1350,0x05460f1b
355,-1350,3867,0x0f1bfaba
356,3865,1356,0x054c0f19
357,-1356,3865,0x0f19fab4
358,3863,1362,0x05520f17
359,-1362,3863,0x0f17faae
360,3861,1368,0x05580f15
361,-1368,3861,0x0f15faa8
362,3859,1374,0x055e0f13
363,-1374,3859,0x0f13faa2
364,3857,1380,0x05640f11
365,-1380,3857,0x0f11fa9c
366,3854,1386,0x056a0f0e
367,-1386,3854,0x0f0efa96
368,3852,1392,0x05700f0c
369,-1392,3852,0x0f0cfa90
370,3850,1398,0x05760f0a
371,-1398,3850,0x0f0afa8a
372,3848,1404,0x057c0f08
373,-1404,3848,0x0f08fa84
374,3846,1409,0x05810f06
375,-1409,3846,0x0f06fa7f
376,3844,1415,0x05870f04
377,-1415,3844,0x0f04fa79
378,3842,1421,0x058d0f02
379,-1421,3842,0x0f02fa73
380,3839,1427,0x05930eff
381,-1427,3839,0x0efffa6d
382,3837,1433,0x05990efd
383,-1433,3837,0x0efdfa67
384,3835,1439,0x059f0efb
385,-1439,3835,0x0efbfa61
386,3833,1445,0x05a50ef9
387,-1445,3833,0x0ef9fa5b
388,3831,1451,0x05ab0ef7
389,-1451,3831,0x0ef7fa55
390,3828,1457,0x05b10ef4
391,-1457,3828,0x0ef4fa4f
392,3826,1462,0x05b60ef2
393,-1462,3826,0x0ef2fa4a
394,3824,1468,0x05bc0ef0
395,-1468,3824,0x0ef0fa44
396,3822,1474,0x05c20eee
397,-1474,3822,0x0eeefa3e
398,3819,1480,0x05c80eeb
399,-1480,3819,0x0eebfa38
400,3817,1486,0x05ce0ee9
401,-1486,3817,0x0ee9fa32
402,3815,1492,0x05d40ee7
403,-1492,3815,0x0ee7fa2c
404,3812,1498,0x05da0ee4
405,-1498,3812,0x0ee4fa26
406,3810,1503,0x05df0ee2
407,-1503,3810,0x0ee2fa21
408,3808,1509,0x05e50ee0
409,-1509,3808,0x0ee0fa1b
410,3805,1515,0x05eb0edd
411,-1515,3805,0x0eddfa15
412,3803,1521,0x05f10edb
413,-1521,3803,0x0edbfa0f
414,3801,1527,0x05f70ed9
415,-1527,3801,0x0ed9fa09
416,3798,1533,0x05fd0ed6
417,-1533,3798,0x0ed6fa03
418,3796,1538,0x06020ed4
419,-1538,3796,0x0ed4f9fe
420,3794,1544,0x06080ed2
421,-1544,3794,0x0ed2f9f8
422,3791,1550,0x060e0ecf
423,-1550,3791,0x0ecff9f2
424,3789,1556,0x06140ecd
425,-1556,3789,0x0ecdf9ec
426,3787,1562,0x061a0ecb
427,-1562,3787,0x0ecbf9e6
428,3784,1567,0x061f0ec8
429,-1567,3784,0x0ec8f9e1
430,3782,1573,0x06250ec6
431,-1573,3782,0x0ec6f9db
432,3779,1579,0x062b0ec3
433,-1579,3779,0x0ec3f9d5
434,3777,1585,0x06310ec1
435,-1585,3777,0x0ec1f9cf
436,3775,1591,0x06370ebf
437,-1591,3775,0x0ebff9c9
438,3772,1596,0x063c0ebc
439,-1596,3772,0x0ebcf9c4
440,3770,1602,0x06420eba
441,-1602,3770,0x0ebaf9be
442,3767,1608,0x06480eb7
443,-1608,3767,0x0eb7f9b8
444,3765,1614,0x064e0eb5
445,-1614,3765,0x0eb5f9b2
446,3762,1620,0x06540eb2
447,-1620,3762,0x0eb2f9ac
