score,name,disp,ea,size,lvl,masks,edges,kws,outdeg,indeg
1,FUN_000061c0,FUN_000061c0,0x000061c0,76,-1,0,0,0,0,0
1,FUN_0000620c,FUN_0000620c,0x0000620c,52,-1,0,0,0,0,0
1,FUN_00006240,FUN_00006240,0x00006240,52,-1,0,0,0,0,0
1,FUN_00006274,FUN_00006274,0x00006274,84,-1,0,0,0,0,0
1,FUN_000062c8,FUN_000062c8,0x000062c8,84,-1,0,0,0,0,0
1,FUN_0000631c,FUN_0000631c,0x0000631c,72,-1,0,0,0,0,0
1,FUN_00006364,FUN_00006364,0x00006364,72,-1,0,0,0,0,0
1,FUN_000063ac,FUN_000063ac,0x000063ac,72,-1,0,0,0,0,0
1,FUN_000063f4,FUN_000063f4,0x000063f4,52,-1,0,0,0,0,0
1,FUN_00006428,FUN_00006428,0x00006428,60,-1,0,0,0,0,0
1,FUN_00006464,FUN_00006464,0x00006464,88,-1,0,0,0,0,0
1,FUN_000064bc,FUN_000064bc,0x000064bc,76,-1,0,0,0,0,0
1,FUN_00006508,FUN_00006508,0x00006508,136,-1,0,0,0,0,0
1,FUN_000065c8,FUN_000065c8,0x000065c8,88,-1,0,0,0,0,0
1,FUN_00006620,FUN_00006620,0x00006620,60,-1,0,0,0,0,0
1,FUN_0000665c,FUN_0000665c,0x0000665c,76,-1,0,0,0,0,0
1,FUN_000066a8,FUN_000066a8,0x000066a8,68,-1,0,0,0,0,0
1,FUN_000066ec,FUN_000066ec,0x000066ec,68,-1,0,0,0,0,0
1,FUN_00006730,FUN_00006730,0x00006730,104,-1,0,0,0,0,0
1,FUN_00006798,FUN_00006798,0x00006798,52,-1,0,0,0,0,0
1,FUN_000067cc,FUN_000067cc,0x000067cc,52,-1,0,0,0,0,0
1,FUN_00006800,FUN_00006800,0x00006800,96,-1,0,0,0,0,0
1,FUN_00006860,phys_FUN_00006860,0x00006860,152,-1,0,0,0,0,0
1,FUN_00006958,phys_FUN_00006958,0x00006958,152,-1,0,0,0,0,0
1,FUN_00006a50,phys_FUN_00006a50,0x00006a50,152,-1,0,0,0,0,0
1,FUN_00006b48,FUN_00006b48,0x00006b48,140,-1,0,0,0,0,0
1,FUN_00006bd4,FUN_00006bd4,0x00006bd4,68,-1,0,0,0,0,0
1,FUN_00006c18,FUN_00006c18,0x00006c18,84,-1,0,0,0,0,0
1,FUN_00006c6c,FUN_00006c6c,0x00006c6c,76,-1,0,0,0,0,0
1,FUN_00006dd0,FUN_00006dd0,0x00006dd0,168,-1,0,0,0,0,0
1,FUN_00006e78,FUN_00006e78,0x00006e78,144,-1,0,0,0,0,0
1,FUN_00006f08,FUN_00006f08,0x00006f08,136,-1,0,0,0,0,0
1,FUN_00006f90,FUN_00006f90,0x00006f90,148,-1,0,0,0,0,0
