binary,function,ea_hex,new_name,suggested_name,reason,pos_hits,basis_dest_hits,basis_src_hits,speed_hits,integrator,direct_pos_write,axes,weighted_score,apply
MAIN.EXE,FUN_00023410,0x23410,suspect_cleanup_FUN_00023410,cleanup_candidate,calls suspect_FUN_0001f5e8 (likely cleanup/dealloc wrapper),0,0,0,0,0,0,,0,0
MAIN.EXE,FUN_00023438,0x23438,suspect_cleanup_FUN_00023438,cleanup_candidate,calls suspect_FUN_0001f5e8 (likely cleanup/dealloc wrapper),0,0,0,0,0,0,,0,0
MAIN.EXE,FUN_000234b8,0x234B8,suspect_cleanup_FUN_000234b8,cleanup_candidate,calls suspect_FUN_0001f5e8 (likely cleanup/dealloc wrapper),0,0,0,0,0,0,,0,0
MNU.BIN,FUN_00000428,0x428,suspect_FUN_00000428,q12_candidate,"WScore=32, Pxyz=4, Ang=4, BD=0, BS=0, Spd=0",4,0,0,0,0,0,,0,0
MNU.BIN,FUN_00000ca4,0xCA4,suspect_FUN_00000ca4,q12_candidate,"WScore=16, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
MNU.BIN,FUN_00004328,0x4328,suspect_FUN_00004328,q12_candidate,"WScore=28, Pxyz=4, Ang=0, BD=0, BS=0, Spd=0",4,0,0,0,0,0,,0,0
MNU.BIN,FUN_0000a654,0xA654,suspect_FUN_0000a654,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
PSX.EXE,FUN_00001cf4,0x1CF4,suspect_FUN_00001cf4,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
ROT.BIN,FUN_00000e04,0xE04,suspect_FUN_00000e04,q12_candidate,"WScore=12, Pxyz=16, Ang=8, BD=0, BS=0, Spd=0",16,0,0,0,0,0,,0,0
ROT.BIN,FUN_00001288,0x1288,suspect_FUN_00001288,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
ROT.BIN,FUN_00001650,0x1650,suspect_FUN_00001650,q12_candidate,"WScore=32, Pxyz=16, Ang=0, BD=0, BS=0, Spd=0",16,0,0,0,0,0,,0,0
ROT.BIN,FUN_00001ad4,0x1AD4,phys_FUN_00001ad4,q12_candidate,"WScore=88, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
ROT.BIN,FUN_000025ec,0x25EC,suspect_FUN_000025ec,q12_candidate,"WScore=8, Pxyz=0, Ang=12, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
ROT.BIN,FUN_00002724,0x2724,suspect_FUN_00002724,q12_candidate,"WScore=16, Pxyz=20, Ang=28, BD=0, BS=0, Spd=0",20,0,0,0,0,0,,0,0
ROT.BIN,FUN_000042f8,0x42F8,suspect_FUN_000042f8,q12_candidate,"WScore=12, Pxyz=8, Ang=4, BD=0, BS=0, Spd=0",8,0,0,0,0,0,,0,0
ROT.BIN,FUN_000048c8,0x48C8,suspect_FUN_000048c8,q12_candidate,"WScore=24, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
ROT.BIN,FUN_00004a70,0x4A70,suspect_FUN_00004a70,q12_candidate,"WScore=12, Pxyz=8, Ang=0, BD=0, BS=0, Spd=0",8,0,0,0,0,0,,0,0
ROT.BIN,FUN_00004ccc,0x4CCC,suspect_FUN_00004ccc,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=4, BS=0, Spd=0",0,4,0,0,0,0,,0,0
ROT.BIN,FUN_000057cc,0x57CC,suspect_FUN_000057cc,q12_candidate,"WScore=12, Pxyz=0, Ang=16, BD=12, BS=8, Spd=4",0,12,8,4,0,0,,0,0
ROT.BIN,FUN_000063c4,0x63C4,suspect_FUN_000063c4,q12_candidate,"WScore=8, Pxyz=0, Ang=4, BD=12, BS=4, Spd=0",0,12,4,0,0,0,,0,0
ROT.BIN,FUN_000097f8,0x97F8,suspect_FUN_000097f8,q12_candidate,"WScore=32, Pxyz=4, Ang=4, BD=0, BS=0, Spd=0",4,0,0,0,0,0,,0,0
ROT.BIN,FUN_0000a074,0xA074,suspect_FUN_0000a074,q12_candidate,"WScore=16, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
SYS.BIN,FUN_00006f74,0x6F74,suspect_FUN_00006f74,q12_candidate,,0,8,0,0,0,0,,0,0
SYS.BIN,FUN_00009510,0x9510,suspect_FUN_00009510,q12_candidate,"WScore=12, Pxyz=12, Ang=0, BD=0, BS=0, Spd=0",12,0,0,0,0,0,,0,0
SYS.BIN,FUN_0000a2b8,0xA2B8,suspect_FUN_0000a2b8,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
TUTO.BIN,FUN_00001c84,0x1C84,suspect_FUN_00001c84,orientation_update_candidate,"angles+Q12 heavy; WScore=60, Ang=4",68,0,0,0,0,0,,0,0
