name,ea,size,in,out,score
FUN_00000408,0x00000408,364,0,0,13
FUN_00000804,0x00000804,268,0,0,13
FUN_00000c60,0x00000c60,680,0,0,13
FUN_000010b8,0x000010b8,3020,0,0,13
FUN_00001c84,0x00001c84,6844,0,0,13
FUN_00003770,0x00003770,1148,0,0,13
FUN_00000910,0x00000910,200,0,0,8
FUN_000009d8,0x000009d8,64,0,0,0
FUN_00000a18,0x00000a18,48,0,0,0
FUN_00000a48,0x00000a48,112,0,0,0
