binary,address,oldname,name,distance,in_degree,out_degree,score,strong:CdControl,strong:CdControlB,strong:CdControlF,strong:CdReady,strong:CdSync,strong:CdlLOC,strong:CdLOC,strong:btoi,strong:itob,weak:loc.minute,weak:loc.second,weak:loc.sector,weak:CdlSetloc,weak:CdlRead,weak:CdlReadS,weak:CdlPlay,weak:CdlSetfilter,weak:memcpy,weak:memmove,weak:memset,num:0x800,num:2048,num:0x930,num:2352,num:0x924,num:2340,num:2328
MAIN.EXE,0x2434,FUN_00002434,cdstream_init_or_start,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
MAIN.EXE,0x26f4,FUN_000026f4,cdstream_reset,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAIN.EXE,0x19ec0,FUN_00019ec0,cdstream_stage_payload,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MAIN.EXE,0x28d8,FUN_000028d8,cdstream_register_callback2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x21d4,FUN_000021d4,cdstream_process_queue,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x2584,FUN_00002584,cdstream_poll_idle,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x197bc,FUN_000197bc,cdstream_device_pump,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MAIN.EXE,0x199d4,FUN_000199d4,cdstream_memcpy_sector,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAIN.EXE,0x6050,FUN_00006050,FUN_00006050,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAIN.EXE,0xa234,FUN_0000a234,FUN_0000a234,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAIN.EXE,0x9f08,FUN_00009f08,FUN_00009f08,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MAIN.EXE,0x1a028,FUN_0001a028,cdstream_advance_and_dispatch,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1a038,FUN_0001a038,cdstream_advance_and_dispatch2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1a100,FUN_0001a100,cdstream_noop,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1dd78,FUN_0001dd78,FUN_0001dd78,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1dd04,FUN_0001dd04,FUN_0001dd04,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1d600,FUN_0001d600,update_state_dispatch,1,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1cc58,FUN_0001cc58,FUN_0001cc58,1,51,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x2ab0,FUN_00002ab0,FUN_00002ab0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1a0ec,FUN_0001a0ec,FUN_0001a0ec,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x15ab8,FUN_00015ab8,FUN_00015ab8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x16780,FUN_00016780,FUN_00016780,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x12c80,FUN_00012c80,FUN_00012c80,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x1f24,FUN_00001f24,FUN_00001f24,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x9d8,FUN_000009d8,FUN_000009d8,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0xb38,FUN_00000b38,FUN_00000b38,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIN.EXE,0x66b0,FUN_000066b0,FUN_000066b0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
