score,name,ea,size,lvl,arrow,masks,edge,outdeg,indeg
10,FUN_00023588,0x00023588,76,1,0,16,0,0,1
6,FUN_0001f5e8,0x0001f5e8,40,1,0,0,0,0,22
6,FUN_00021c64,0x00021c64,108,1,0,0,0,1,3
1,FUN_00009708,0x00009708,608,0,0,0,0,10,0
