name,ea,size,in,out,proposed,confidence,reason
FUN_00001868,0x00001868,96,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000976c,0x0000976c,2204,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
