function,ea,binary,score,integrator,direct_pos,axes,pos_hits,angle_hits,basis_dest_hits,basis_src_hits,speed_hits,trig_hits,suggested_name,reason
FUN_0001eb14,0x01eb14,MAIN.EXE,20,0,0,-,16,24,0,0,0,0,q12_candidate,"WScore=20, Pxyz=16, Ang=24, BD=0, BS=0, Spd=0"
FUN_00027160,0x027160,GAME.BIN,20,0,0,-,4,0,16,0,0,0,q12_candidate,"WScore=20, Pxyz=4, Ang=0, BD=16, BS=0, Spd=0"
FUN_0003339c,0x03339c,GAME.BIN,20,0,0,-,12,8,8,0,0,0,q12_candidate,"WScore=20, Pxyz=12, Ang=8, BD=8, BS=0, Spd=0"
FUN_00034a08,0x034a08,GAME.BIN,20,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=20, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_000352ac,0x0352ac,GAME.BIN,20,0,0,-,0,12,0,0,0,0,q12_candidate,"WScore=20, Pxyz=0, Ang=12, BD=0, BS=0, Spd=0"
FUN_000396b4,0x0396b4,GAME.BIN,20,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=20, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0003a014,0x03a014,GAME.BIN,20,0,0,-,0,12,0,0,0,0,q12_candidate,"WScore=20, Pxyz=0, Ang=12, BD=0, BS=0, Spd=0"
FUN_0003df28,0x03df28,GAME.BIN,20,0,0,-,12,8,0,0,0,0,q12_candidate,"WScore=20, Pxyz=12, Ang=8, BD=0, BS=0, Spd=0"
FUN_0003ea40,0x03ea40,GAME.BIN,20,0,0,-,0,12,0,0,0,0,q12_candidate,"WScore=20, Pxyz=0, Ang=12, BD=0, BS=0, Spd=0"
FUN_00000ca4,0x000ca4,MNU.BIN,16,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=16, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00002434,0x002434,MAIN.EXE,16,0,0,-,0,8,0,0,0,0,q12_candidate,"WScore=16, Pxyz=0, Ang=8, BD=0, BS=0, Spd=0"
FUN_00002724,0x002724,ROT.BIN,16,0,0,-,20,28,0,0,0,0,q12_candidate,"WScore=16, Pxyz=20, Ang=28, BD=0, BS=0, Spd=0"
FUN_00006d1c,0x006d1c,ROT.BIN,16,0,0,-,12,0,0,0,0,0,q12_candidate,"WScore=16, Pxyz=12, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000a074,0x00a074,ROT.BIN,16,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=16, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000cc9c,0x00cc9c,GAME.BIN,16,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=16, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0001301c,0x01301c,GAME.BIN,16,0,0,-,4,16,8,0,0,0,q12_candidate,"WScore=16, Pxyz=4, Ang=16, BD=8, BS=0, Spd=0"
FUN_0002ba5c,0x02ba5c,GAME.BIN,16,0,0,-,16,8,0,0,0,0,q12_candidate,"WScore=16, Pxyz=16, Ang=8, BD=0, BS=0, Spd=0"
FUN_00043748,0x043748,GAME.BIN,16,0,0,-,8,0,0,0,0,0,q12_candidate,"WScore=16, Pxyz=8, Ang=0, BD=0, BS=0, Spd=0"
FUN_000494c4,0x0494c4,GAME.BIN,16,0,0,-,24,12,0,0,0,0,q12_candidate,"WScore=16, Pxyz=24, Ang=12, BD=0, BS=0, Spd=0"
FUN_00000e04,0x000e04,ROT.BIN,12,0,0,-,16,8,0,0,0,0,q12_candidate,"WScore=12, Pxyz=16, Ang=8, BD=0, BS=0, Spd=0"
FUN_000042f8,0x0042f8,ROT.BIN,12,0,0,-,8,4,0,0,0,0,q12_candidate,"WScore=12, Pxyz=8, Ang=4, BD=0, BS=0, Spd=0"
FUN_00004a70,0x004a70,ROT.BIN,12,0,0,-,8,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=8, Ang=0, BD=0, BS=0, Spd=0"
FUN_000057cc,0x0057cc,ROT.BIN,12,0,0,-,0,16,12,8,4,0,q12_candidate,"WScore=12, Pxyz=0, Ang=16, BD=12, BS=8, Spd=4"
FUN_00005dac,0x005dac,LEGGIT.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_000090e0,0x0090e0,MAIN.EXE,12,0,0,-,8,4,12,12,20,0,orient_recompute_basis_candidate,"basis-src heavy; BS=12, BD=12, Spd=20"
FUN_00009510,0x009510,SYS.BIN,12,0,0,-,12,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=12, Ang=0, BD=0, BS=0, Spd=0"
FUN_00009e3c,0x009e3c,LEGGIT.EXE,12,0,0,-,0,8,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=8, BD=0, BS=0, Spd=0"
FUN_0000edc8,0x00edc8,MAIN.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000f464,0x00f464,GAME.BIN,12,0,0,-,12,8,0,0,0,0,q12_candidate,"WScore=12, Pxyz=12, Ang=8, BD=0, BS=0, Spd=0"
FUN_00017378,0x017378,GAME.BIN,12,0,0,-,20,44,0,0,0,0,q12_candidate,"WScore=12, Pxyz=20, Ang=44, BD=0, BS=0, Spd=0"
FUN_000197bc,0x0197bc,MAIN.EXE,12,0,0,-,0,8,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=8, BD=0, BS=0, Spd=0"
FUN_0001f5a8,0x01f5a8,MAIN.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0001f5d4,0x01f5d4,MAIN.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0001f5e8,0x01f5e8,MAIN.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0001f610,0x01f610,MAIN.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00020820,0x020820,MAIN.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00022a74,0x022a74,GAME.BIN,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00027304,0x027304,GAME.BIN,12,0,0,-,4,24,0,0,0,0,q12_candidate,"WScore=12, Pxyz=4, Ang=24, BD=0, BS=0, Spd=0"
FUN_000382e0,0x0382e0,GAME.BIN,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
thunk_FUN_0001f5d4,0x01f5c0,MAIN.EXE,12,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00001288,0x001288,ROT.BIN,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00001cf4,0x001cf4,PSX.EXE,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_000025ec,0x0025ec,ROT.BIN,8,0,0,-,0,12,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=12, BD=0, BS=0, Spd=0"
FUN_00004ccc,0x004ccc,ROT.BIN,8,0,0,-,0,0,4,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=4, BS=0, Spd=0"
FUN_000056dc,0x0056dc,ROT.BIN,8,0,0,-,0,4,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=4, BD=0, BS=0, Spd=0"
FUN_000063c4,0x0063c4,ROT.BIN,8,0,0,-,0,4,12,4,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=4, BD=12, BS=4, Spd=0"
FUN_00006cac,0x006cac,ROT.BIN,8,0,0,-,0,0,4,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=4, BS=0, Spd=0"
FUN_00008528,0x008528,MAIN.EXE,8,0,0,-,28,0,12,4,8,0,q12_candidate,"WScore=8, Pxyz=28, Ang=0, BD=12, BS=4, Spd=8"
FUN_00009544,0x009544,LEGGIT.EXE,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00009f08,0x009f08,MAIN.EXE,8,0,0,-,0,8,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=8, BD=0, BS=0, Spd=0"
FUN_0000a2b8,0x00a2b8,SYS.BIN,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000a654,0x00a654,MNU.BIN,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000a944,0x00a944,MAIN.EXE,8,0,0,-,0,4,8,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=4, BD=8, BS=0, Spd=0"
FUN_0000c490,0x00c490,MAIN.EXE,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000cb48,0x00cb48,GAME.BIN,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000cce0,0x00cce0,GAME.BIN,8,0,0,-,8,4,0,0,0,0,q12_candidate,"WScore=8, Pxyz=8, Ang=4, BD=0, BS=0, Spd=0"
FUN_0000fcec,0x00fcec,MAIN.EXE,8,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_000106cc,0x0106cc,GAME.BIN,8,0,0,-,4,4,0,0,0,0,q12_candidate,"WScore=8, Pxyz=4, Ang=4, BD=0, BS=0, Spd=0"
FUN_000108bc,0x0108bc,GAME.BIN,8,0,0,-,20,48,0,0,0,0,q12_candidate,"WScore=8, Pxyz=20, Ang=48, BD=0, BS=0, Spd=0"
FUN_000119cc,0x0119cc,GAME.BIN,8,0,0,-,12,0,4,0,0,0,q12_candidate,"WScore=8, Pxyz=12, Ang=0, BD=4, BS=0, Spd=0"
FUN_000132d0,0x0132d0,GAME.BIN,8,0,0,-,4,8,0,0,0,0,q12_candidate,"WScore=8, Pxyz=4, Ang=8, BD=0, BS=0, Spd=0"
FUN_00013728,0x013728,GAME.BIN,8,0,0,-,4,4,0,4,0,0,q12_candidate,"WScore=8, Pxyz=4, Ang=4, BD=0, BS=4, Spd=0"
FUN_000145c8,0x0145c8,LEGGIT.EXE,8,0,0,-,0,0,8,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=8, BS=0, Spd=0"
FUN_00014f80,0x014f80,MAIN.EXE,8,0,0,-,0,0,8,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=8, BS=0, Spd=0"
FUN_0001655c,0x01655c,GAME.BIN,8,0,0,-,12,56,0,0,4,0,q12_candidate,"WScore=8, Pxyz=12, Ang=56, BD=0, BS=0, Spd=4"
FUN_00017d70,0x017d70,GAME.BIN,8,0,0,-,4,24,0,0,4,0,q12_candidate,"WScore=8, Pxyz=4, Ang=24, BD=0, BS=0, Spd=4"
FUN_00019ec0,0x019ec0,MAIN.EXE,8,0,0,-,0,8,0,0,0,0,q12_candidate,"WScore=8, Pxyz=0, Ang=8, BD=0, BS=0, Spd=0"
FUN_0001a528,0x01a528,MAIN.EXE,8,0,0,-,4,4,12,12,4,0,q12_candidate,"WScore=8, Pxyz=4, Ang=4, BD=12, BS=12, Spd=4"
FUN_0001a558,0x01a558,MAIN.EXE,8,0,0,-,4,4,12,12,4,0,q12_candidate,"WScore=8, Pxyz=4, Ang=4, BD=12, BS=12, Spd=4"
FUN_0001abfc,0x01abfc,MAIN.EXE,8,0,0,-,8,0,0,36,0,0,q12_candidate,"WScore=8, Pxyz=8, Ang=0, BD=0, BS=36, Spd=0"
FUN_000207a8,0x0207a8,GAME.BIN,8,0,0,-,8,0,4,0,0,0,q12_candidate,"WScore=8, Pxyz=8, Ang=0, BD=4, BS=0, Spd=0"
FUN_00020b88,0x020b88,GAME.BIN,8,0,0,-,8,0,0,0,0,0,q12_candidate,"WScore=8, Pxyz=8, Ang=0, BD=0, BS=0, Spd=0"
