score,name,disp,ea,size,lvl,masks,edges,kws,outdeg,indeg
1,FUN_0000505c,FUN_0000505c,0x0000505c,60,-1,0,0,0,0,0
1,FUN_00005d68,FUN_00005d68,0x00005d68,152,-1,0,0,0,4,0
1,FUN_00005f78,suspect_FUN_00005f78,0x00005f78,216,-1,0,0,0,8,0
1,FUN_00006368,FUN_00006368,0x00006368,160,-1,0,0,0,2,0
1,FUN_00006408,FUN_00006408,0x00006408,120,-1,0,0,0,2,0
1,FUN_000064a4,FUN_000064a4,0x000064a4,48,-1,0,0,0,0,0
1,FUN_000064d4,FUN_000064d4,0x000064d4,48,-1,0,0,0,0,0
1,FUN_00006504,FUN_00006504,0x00006504,48,-1,0,0,0,0,0
1,FUN_00006534,FUN_00006534,0x00006534,52,-1,0,0,0,0,0
1,FUN_00006590,FUN_00006590,0x00006590,108,-1,0,0,0,0,0
1,FUN_00006658,FUN_00006658,0x00006658,88,-1,0,0,0,2,0
1,FUN_00006904,FUN_00006904,0x00006904,76,-1,0,0,0,2,0
1,FUN_00007dc0,FUN_00007dc0,0x00007dc0,40,-1,0,0,0,1,0
1,FUN_00007de8,FUN_00007de8,0x00007de8,40,-1,0,0,0,1,0
1,FUN_00007fcc,FUN_00007fcc,0x00007fcc,212,-1,0,0,0,1,0
1,FUN_000080a0,FUN_000080a0,0x000080a0,72,-1,0,0,0,1,0
1,FUN_000080e8,FUN_000080e8,0x000080e8,112,-1,0,0,0,4,0
1,FUN_000084f8,FUN_000084f8,0x000084f8,48,-1,0,0,0,1,0
1,FUN_00008c84,FUN_00008c84,0x00008c84,96,-1,0,0,0,2,0
1,FUN_00008e54,FUN_00008e54,0x00008e54,96,-1,0,0,0,2,0
1,FUN_00008ebc,suspect_FUN_00008ebc,0x00008ebc,256,-1,0,0,0,7,0
1,FUN_00008fbc,FUN_00008fbc,0x00008fbc,52,-1,0,0,0,1,0
1,FUN_00008ff0,suspect_FUN_00008ff0,0x00008ff0,240,-1,0,0,0,9,0
1,FUN_00009968,FUN_00009968,0x00009968,68,-1,0,0,0,1,0
1,FUN_000099ac,suspect_FUN_000099ac,0x000099ac,244,-1,0,0,0,11,0
1,FUN_00009b18,FUN_00009b18,0x00009b18,152,-1,0,0,0,2,0
1,FUN_00009bb0,FUN_00009bb0,0x00009bb0,116,-1,0,0,0,0,0
1,FUN_00009d8c,FUN_00009d8c,0x00009d8c,96,-1,0,0,0,2,0
1,FUN_00009dec,FUN_00009dec,0x00009dec,88,-1,0,0,0,4,0
1,FUN_00009e44,FUN_00009e44,0x00009e44,60,-1,0,0,0,1,0
1,FUN_00009e80,FUN_00009e80,0x00009e80,120,-1,0,0,0,3,0
1,FUN_0000a070,FUN_0000a070,0x0000a070,204,-1,0,0,0,2,0
1,FUN_0000a174,FUN_0000a174,0x0000a174,56,-1,0,0,0,3,0
1,FUN_0000a1ac,FUN_0000a1ac,0x0000a1ac,136,-1,0,0,0,1,0
1,FUN_0000a464,FUN_0000a464,0x0000a464,140,-1,0,0,0,2,0
1,FUN_0000a4f0,FUN_0000a4f0,0x0000a4f0,252,-1,0,0,0,6,0
1,FUN_0000a5ec,FUN_0000a5ec,0x0000a5ec,60,-1,0,0,0,2,0
1,FUN_0000a628,FUN_0000a628,0x0000a628,204,-1,0,0,0,3,0
1,FUN_0000a6f4,FUN_0000a6f4,0x0000a6f4,224,-1,0,0,0,6,0
1,FUN_0000a7d4,FUN_0000a7d4,0x0000a7d4,200,-1,0,0,0,5,0
1,FUN_0000a8c0,FUN_0000a8c0,0x0000a8c0,132,-1,0,0,0,3,0
1,FUN_0000ac5c,FUN_0000ac5c,0x0000ac5c,132,-1,0,0,0,2,0
1,FUN_0000ace0,FUN_0000ace0,0x0000ace0,76,-1,0,0,0,1,0
1,FUN_0000ad2c,FUN_0000ad2c,0x0000ad2c,76,-1,0,0,0,3,0
1,FUN_0000ad78,FUN_0000ad78,0x0000ad78,164,-1,0,0,0,1,0
1,FUN_0000bba0,FUN_0000bba0,0x0000bba0,60,-1,0,0,0,1,0
1,FUN_0000bbdc,FUN_0000bbdc,0x0000bbdc,52,-1,0,0,0,1,0
1,FUN_0000bd44,FUN_0000bd44,0x0000bd44,68,-1,0,0,0,4,0
1,FUN_0000bd88,FUN_0000bd88,0x0000bd88,76,-1,0,0,0,2,0
1,FUN_0000c144,FUN_0000c144,0x0000c144,108,-1,0,0,0,1,0
1,FUN_0000c9f0,FUN_0000c9f0,0x0000c9f0,64,-1,0,0,0,2,0
1,FUN_0000ca30,FUN_0000ca30,0x0000ca30,60,-1,0,0,0,2,0
1,FUN_0000ca6c,FUN_0000ca6c,0x0000ca6c,140,-1,0,0,0,3,0
1,FUN_0000caf8,FUN_0000caf8,0x0000caf8,88,-1,0,0,0,4,0
1,FUN_0000cb7c,FUN_0000cb7c,0x0000cb7c,132,-1,0,0,0,3,0
1,FUN_0000cc00,FUN_0000cc00,0x0000cc00,60,-1,0,0,0,2,0
1,FUN_0000cc3c,FUN_0000cc3c,0x0000cc3c,200,-1,0,0,0,1,0
1,FUN_0000cd04,suspect_FUN_0000cd04,0x0000cd04,140,-1,0,0,0,9,0
1,FUN_0000cdb4,FUN_0000cdb4,0x0000cdb4,80,-1,0,0,0,1,0
1,FUN_0000ce04,FUN_0000ce04,0x0000ce04,212,-1,0,0,0,5,0
1,FUN_0000d058,FUN_0000d058,0x0000d058,252,-1,0,0,0,6,0
1,FUN_0000d154,FUN_0000d154,0x0000d154,108,-1,0,0,0,2,0
1,FUN_0000d1c0,FUN_0000d1c0,0x0000d1c0,72,-1,0,0,0,1,0
1,FUN_0000d3bc,FUN_0000d3bc,0x0000d3bc,124,-1,0,0,0,2,0
1,FUN_0000d438,FUN_0000d438,0x0000d438,252,-1,0,0,0,4,0
1,FUN_0000d534,FUN_0000d534,0x0000d534,148,-1,0,0,0,1,0
1,FUN_0000d7d8,FUN_0000d7d8,0x0000d7d8,252,-1,0,0,0,3,0
1,FUN_0000e078,FUN_0000e078,0x0000e078,152,-1,0,0,0,1,0
1,FUN_0000e118,FUN_0000e118,0x0000e118,44,-1,0,0,0,1,0
1,FUN_0000e418,FUN_0000e418,0x0000e418,232,-1,0,0,0,1,0
1,FUN_0000e508,FUN_0000e508,0x0000e508,56,-1,0,0,0,4,0
1,FUN_0000e548,FUN_0000e548,0x0000e548,48,-1,0,0,0,3,0
1,FUN_0000e5b8,FUN_0000e5b8,0x0000e5b8,56,-1,0,0,0,1,0
1,FUN_0000e710,FUN_0000e710,0x0000e710,192,-1,0,0,0,1,0
1,FUN_0000e7d0,FUN_0000e7d0,0x0000e7d0,80,-1,0,0,0,1,0
1,FUN_0000ea50,FUN_0000ea50,0x0000ea50,76,-1,0,0,0,0,0
1,FUN_0000ea9c,FUN_0000ea9c,0x0000ea9c,72,-1,0,0,0,1,0
1,FUN_0000eaf0,FUN_0000eaf0,0x0000eaf0,32,-1,0,0,0,1,0
1,FUN_0000ec90,FUN_0000ec90,0x0000ec90,40,-1,0,0,0,1,0
1,FUN_0000ef18,FUN_0000ef18,0x0000ef18,76,-1,0,0,0,1,0
1,FUN_0000ef68,FUN_0000ef68,0x0000ef68,144,-1,0,0,0,1,0
1,FUN_0000eff8,FUN_0000eff8,0x0000eff8,104,-1,0,0,0,1,0
1,FUN_0000f060,FUN_0000f060,0x0000f060,144,-1,0,0,0,1,0
1,FUN_0000f310,FUN_0000f310,0x0000f310,60,-1,0,0,0,1,0
1,FUN_0000f350,FUN_0000f350,0x0000f350,156,-1,0,0,0,2,0
1,FUN_00010700,FUN_00010700,0x00010700,236,-1,0,0,0,2,0
1,FUN_000107ec,FUN_000107ec,0x000107ec,52,-1,0,0,0,1,0
1,FUN_000120bc,FUN_000120bc,0x000120bc,104,-1,0,0,0,2,0
1,FUN_00012128,FUN_00012128,0x00012128,52,-1,0,0,0,1,0
1,FUN_0001215c,FUN_0001215c,0x0001215c,192,-1,0,0,0,5,0
1,FUN_0001221c,FUN_0001221c,0x0001221c,40,-1,0,0,0,1,0
1,FUN_000126dc,FUN_000126dc,0x000126dc,188,-1,0,0,0,2,0
1,FUN_00012a18,FUN_00012a18,0x00012a18,132,-1,0,0,0,2,0
1,FUN_00012c18,FUN_00012c18,0x00012c18,20,-1,0,0,0,0,0
1,FUN_00012c80,FUN_00012c80,0x00012c80,36,-1,0,0,0,1,0
1,FUN_00012cb0,FUN_00012cb0,0x00012cb0,232,-1,0,0,0,4,0
1,FUN_00012d98,FUN_00012d98,0x00012d98,112,-1,0,0,0,5,0
1,FUN_00012e10,FUN_00012e10,0x00012e10,32,-1,0,0,0,1,0
1,FUN_00012e30,FUN_00012e30,0x00012e30,32,-1,0,0,0,1,0
1,FUN_00013850,FUN_00013850,0x00013850,36,-1,0,0,0,1,0
1,FUN_000138d0,FUN_000138d0,0x000138d0,204,-1,0,0,0,2,0
1,FUN_00014350,FUN_00014350,0x00014350,36,-1,0,0,0,1,0
1,FUN_00014820,FUN_00014820,0x00014820,92,-1,0,0,0,1,0
1,FUN_00014880,FUN_00014880,0x00014880,92,-1,0,0,0,2,0
1,FUN_00014910,FUN_00014910,0x00014910,164,-1,0,0,0,2,0
1,FUN_000155a0,FUN_000155a0,0x000155a0,212,-1,0,0,0,2,0
1,FUN_00015690,FUN_00015690,0x00015690,144,-1,0,0,0,1,0
1,FUN_00015720,FUN_00015720,0x00015720,140,-1,0,0,0,1,0
1,FUN_000157ac,FUN_000157ac,0x000157ac,148,-1,0,0,0,2,0
1,FUN_00015840,FUN_00015840,0x00015840,148,-1,0,0,0,2,0
1,FUN_000158ec,FUN_000158ec,0x000158ec,124,-1,0,0,0,1,0
1,FUN_00015970,FUN_00015970,0x00015970,52,-1,0,0,0,2,0
1,FUN_000159a4,FUN_000159a4,0x000159a4,124,-1,0,0,0,2,0
1,FUN_00015a20,FUN_00015a20,0x00015a20,32,-1,0,0,0,1,0
1,FUN_00015a40,FUN_00015a40,0x00015a40,60,-1,0,0,0,2,0
1,FUN_00015a7c,FUN_00015a7c,0x00015a7c,60,-1,0,0,0,2,0
1,FUN_00015ab8,FUN_00015ab8,0x00015ab8,36,-1,0,0,0,1,0
1,FUN_00015e2c,FUN_00015e2c,0x00015e2c,44,-1,0,0,0,1,0
1,FUN_00015e5c,FUN_00015e5c,0x00015e5c,36,-1,0,0,0,1,0
1,FUN_000160ac,FUN_000160ac,0x000160ac,60,-1,0,0,0,2,0
1,FUN_000160e8,FUN_000160e8,0x000160e8,40,-1,0,0,0,1,0
1,FUN_00016110,FUN_00016110,0x00016110,40,-1,0,0,0,1,0
1,FUN_00016138,FUN_00016138,0x00016138,40,-1,0,0,0,1,0
1,FUN_0001616c,FUN_0001616c,0x0001616c,144,-1,0,0,0,3,0
1,FUN_00016228,FUN_00016228,0x00016228,108,-1,0,0,0,4,0
1,FUN_00016294,FUN_00016294,0x00016294,32,-1,0,0,0,1,0
1,FUN_0001631c,FUN_0001631c,0x0001631c,32,-1,0,0,0,1,0
1,FUN_0001633c,FUN_0001633c,0x0001633c,32,-1,0,0,0,1,0
1,FUN_00016740,FUN_00016740,0x00016740,32,-1,0,0,0,1,0
1,FUN_00016760,FUN_00016760,0x00016760,32,-1,0,0,0,1,0
1,FUN_00016780,FUN_00016780,0x00016780,36,-1,0,0,0,1,0
1,FUN_000167a4,FUN_000167a4,0x000167a4,32,-1,0,0,0,1,0
1,FUN_00016948,FUN_00016948,0x00016948,108,-1,0,0,0,0,0
1,FUN_00016ea4,FUN_00016ea4,0x00016ea4,216,-1,0,0,0,1,0
1,FUN_00017b1c,FUN_00017b1c,0x00017b1c,76,-1,0,0,0,2,0
1,FUN_0001809c,FUN_0001809c,0x0001809c,32,-1,0,0,0,1,0
1,FUN_000182d4,FUN_000182d4,0x000182d4,100,-1,0,0,0,1,3
1,FUN_00018338,FUN_00018338,0x00018338,72,-1,0,0,0,1,1
1,FUN_00018380,FUN_00018380,0x00018380,164,-1,0,0,0,1,0
1,FUN_000184b8,FUN_000184b8,0x000184b8,8,-1,0,0,0,0,3
1,FUN_000186c0,FUN_000186c0,0x000186c0,104,-1,0,0,0,4,0
1,FUN_00018784,FUN_00018784,0x00018784,56,-1,0,0,0,0,1
1,FUN_000187c4,FUN_000187c4,0x000187c4,180,-1,0,0,0,2,1
1,FUN_00018878,FUN_00018878,0x00018878,60,-1,0,0,0,1,2
1,FUN_000188b4,FUN_000188b4,0x000188b4,40,-1,0,0,0,1,6
1,FUN_000189d0,FUN_000189d0,0x000189d0,60,-1,0,0,0,1,1
1,FUN_00018c40,FUN_00018c40,0x00018c40,32,-1,0,0,0,0,2
1,FUN_00018c60,FUN_00018c60,0x00018c60,36,-1,0,0,0,0,2
1,FUN_00018c84,FUN_00018c84,0x00018c84,116,-1,0,0,0,1,0
1,FUN_00018cf8,FUN_00018cf8,0x00018cf8,96,-1,0,0,0,3,2
1,FUN_00018f40,FUN_00018f40,0x00018f40,72,-1,0,0,0,1,0
1,FUN_00018f7c,FUN_00018f7c,0x00018f7c,16,-1,0,0,0,1,1
1,FUN_00018fbc,suspect_FUN_00018fbc,0x00018fbc,132,-1,0,0,0,7,1
1,FUN_00019040,FUN_00019040,0x00019040,200,-1,0,0,0,3,0
1,FUN_00019108,FUN_00019108,0x00019108,32,-1,0,0,0,1,0
1,FUN_000191b8,FUN_000191b8,0x000191b8,96,-1,0,0,0,1,0
1,FUN_00019218,suspect_FUN_00019218,0x00019218,128,-1,0,0,0,7,0
1,FUN_00019324,FUN_00019324,0x00019324,88,-1,0,0,0,3,0
1,FUN_00019388,FUN_00019388,0x00019388,132,-1,0,0,0,1,0
1,FUN_0001942c,FUN_0001942c,0x0001942c,152,-1,0,0,0,0,1
1,FUN_000195f0,FUN_000195f0,0x000195f0,36,-1,0,0,0,0,1
1,FUN_000199d4,FUN_000199d4,0x000199d4,28,-1,0,0,0,1,1
1,FUN_00019c34,FUN_00019c34,0x00019c34,12,-1,0,0,0,0,1
1,FUN_00019ef4,FUN_00019ef4,0x00019ef4,36,-1,0,0,0,1,3
1,FUN_0001a028,FUN_0001a028,0x0001a028,16,-1,0,0,0,0,1
1,FUN_0001a038,FUN_0001a038,0x0001a038,16,-1,0,0,0,1,1
1,FUN_0001a0ec,FUN_0001a0ec,0x0001a0ec,20,-1,0,0,0,1,0
1,FUN_0001a100,FUN_0001a100,0x0001a100,16,-1,0,0,0,0,3
1,FUN_0001a12c,FUN_0001a12c,0x0001a12c,12,-1,0,0,0,0,2
1,FUN_0001a178,FUN_0001a178,0x0001a178,76,-1,0,0,0,2,0
1,FUN_0001a1c4,FUN_0001a1c4,0x0001a1c4,132,-1,0,0,0,1,0
1,FUN_0001a248,FUN_0001a248,0x0001a248,72,-1,0,0,0,0,0
1,FUN_0001a28c,FUN_0001a28c,0x0001a28c,20,-1,0,0,0,1,1
1,FUN_0001a2a0,FUN_0001a2a0,0x0001a2a0,12,-1,0,0,0,1,3
1,FUN_0001a2b0,FUN_0001a2b0,0x0001a2b0,112,-1,0,0,0,1,2
1,FUN_0001a320,FUN_0001a320,0x0001a320,40,-1,0,0,0,0,0
1,FUN_0001a348,FUN_0001a348,0x0001a348,104,-1,0,0,0,1,1
1,FUN_0001a3b0,FUN_0001a3b0,0x0001a3b0,144,-1,0,0,0,0,1
1,FUN_0001a440,FUN_0001a440,0x0001a440,60,-1,0,0,0,0,5
1,FUN_0001a4a0,FUN_0001a4a0,0x0001a4a0,24,-1,0,0,0,0,5
1,FUN_0001a4d0,FUN_0001a4d0,0x0001a4d0,88,-1,0,0,0,4,0
1,FUN_0001a528,FUN_0001a528,0x0001a528,48,-1,0,0,0,1,0
1,FUN_0001a558,FUN_0001a558,0x0001a558,188,-1,0,0,0,3,2
1,FUN_0001a614,FUN_0001a614,0x0001a614,96,-1,0,0,0,1,0
1,FUN_0001a674,FUN_0001a674,0x0001a674,192,-1,0,0,0,0,2
1,FUN_0001a734,FUN_0001a734,0x0001a734,96,-1,0,0,0,2,2
1,FUN_0001a7d0,FUN_0001a7d0,0x0001a7d0,52,-1,0,0,0,2,0
1,FUN_0001aaec,FUN_0001aaec,0x0001aaec,144,-1,0,0,0,5,1
1,FUN_0001ab7c,FUN_0001ab7c,0x0001ab7c,24,-1,0,0,0,2,1
1,FUN_0001ab94,FUN_0001ab94,0x0001ab94,104,-1,0,0,0,2,1
1,FUN_0001ad1c,FUN_0001ad1c,0x0001ad1c,104,-1,0,0,0,0,0
1,FUN_0001aef0,FUN_0001aef0,0x0001aef0,196,-1,0,0,0,3,0
1,FUN_0001b110,FUN_0001b110,0x0001b110,204,-1,0,0,0,5,0
1,FUN_0001b1dc,FUN_0001b1dc,0x0001b1dc,68,-1,0,0,0,4,0
1,FUN_0001ba1c,FUN_0001ba1c,0x0001ba1c,168,-1,0,0,0,4,0
1,FUN_0001be70,FUN_0001be70,0x0001be70,96,-1,0,0,0,1,0
1,FUN_0001bf70,FUN_0001bf70,0x0001bf70,132,-1,0,0,0,3,0
1,FUN_0001c178,FUN_0001c178,0x0001c178,212,-1,0,0,0,1,0
1,FUN_0001c24c,FUN_0001c24c,0x0001c24c,104,-1,0,0,0,0,0
1,FUN_0001c2b4,FUN_0001c2b4,0x0001c2b4,152,-1,0,0,0,0,0
1,FUN_0001c36c,FUN_0001c36c,0x0001c36c,72,-1,0,0,0,1,0
1,FUN_0001c48c,FUN_0001c48c,0x0001c48c,192,-1,0,0,0,1,0
1,FUN_0001c54c,FUN_0001c54c,0x0001c54c,140,-1,0,0,0,1,0
1,FUN_0001c788,FUN_0001c788,0x0001c788,64,-1,0,0,0,0,1
1,FUN_0001c7ec,FUN_0001c7ec,0x0001c7ec,16,-1,0,0,0,0,1
1,FUN_0001c85c,FUN_0001c85c,0x0001c85c,64,-1,0,0,0,0,6
1,FUN_0001c89c,FUN_0001c89c,0x0001c89c,48,-1,0,0,0,3,3
1,FUN_0001c8cc,FUN_0001c8cc,0x0001c8cc,32,-1,0,0,0,1,1
1,FUN_0001c8ec,FUN_0001c8ec,0x0001c8ec,32,-1,0,0,0,0,1
1,FUN_0001c90c,FUN_0001c90c,0x0001c90c,64,-1,0,0,0,0,1
1,FUN_0001c94c,FUN_0001c94c,0x0001c94c,8,-1,0,0,0,0,1
1,FUN_0001c95c,FUN_0001c95c,0x0001c95c,24,-1,0,0,0,1,1
1,FUN_0001c974,FUN_0001c974,0x0001c974,8,-1,0,0,0,0,4
1,FUN_0001c97c,FUN_0001c97c,0x0001c97c,8,-1,0,0,0,0,0
1,FUN_0001c984,FUN_0001c984,0x0001c984,16,-1,0,0,0,1,1
1,FUN_0001c994,FUN_0001c994,0x0001c994,8,-1,0,0,0,0,1
1,FUN_0001c9a4,FUN_0001c9a4,0x0001c9a4,16,-1,0,0,0,1,1
