symbol,canonical_address_hex,observations,distinct_addresses,map_files,address_histogram
DOEEFFECTS,0x80089B6C,2,1,1,0x80089B6C(2)
DOPAN,0x8008AA78,2,1,1,0x8008AA78(2)
DOS3MRETRIG,0x8008A50C,2,1,1,0x8008A50C(2)
DOTONESLIDE,0x8008A764,2,1,1,0x8008A764(2)
DOTREMOLO,0x8008A900,2,1,1,0x8008A900(2)
DOVIBRATO,0x8008A7D4,2,1,1,0x8008A7D4(2)
DOVOL,0x8008AACC,2,1,1,0x8008AACC(2)
DOVOLSLIDE,0x8008A3D4,2,1,1,0x8008A3D4(2)
DOXMPANSLIDE,0x8008A46C,2,1,1,0x8008A46C(2)
DO_THE_BAR,0x8001EDD4,2,1,1,0x8001EDD4(2)
DRAWBAR,0x80081794,2,1,1,0x80081794(2)
DRAWOTAG,0x80013190,2,5,5,0x80013190(2);0x8001BB74(2);0x8002A200(2);0x800850C8(2);0x800929A4(2)
DRAWOTAG2,0x80087554,2,1,1,0x80087554(2)
DRAWOTAGENV,0x800132C8,2,5,5,0x800132C8(2);0x8001BCAC(2);0x8002A338(2);0x800851F8(2);0x80092ADC(2)
DRAWPRIM,0x80013130,2,5,5,0x80013130(2);0x8001BB14(2);0x8002A1A0(2);0x8008506C(2);0x80092944(2)
DRAWSYNC,0x80012C2C,2,5,5,0x80012C2C(2);0x8001B574(2);0x80029C00(2);0x80084AD4(2);0x800923A4(2)
DRAWSYNCCALLBACK,0x80012B34,2,5,5,0x80012B34(2);0x8001B47C(2);0x80029B08(2);0x800849DC(2);0x800922AC(2)
DRAW_BACKDROP,0x8001C050,2,2,2,0x8001C050(2);0x80081CFC(2)
DRAW_ICONS,0x80014E50,2,1,1,0x80014E50(2)
DRAW_MARVIN,0x80018994,2,2,2,0x80018994(2);0x8008F1D8(2)
DRAW_OPTIONS,0x80019E64,2,1,1,0x80019E64(2)
DRAW_SAVE_SCREEN,0x800218D4,2,1,1,0x800218D4(2)
DSTACK,0x801A59C8,4,5,6,0x801A59C8(4);0x80063FC0(2);0x80066538(2);0x801A5AD0(2);0x801B3D80(2)
DS_active,0x80127FCC,4,5,6,0x80127FCC(4);0x8003199C(2);0x80041E50(2);0x801280D8(2);0x80128554(2)
DUMPCLUT,0x80012094,2,5,5,0x80012094(2);0x8001A98C(2);0x80029018(2);0x8008412C(2);0x800917BC(2)
DUMPDISPENV,0x800126E4,2,5,5,0x800126E4(2);0x8001B028(2);0x800296B4(2);0x800846B0(2);0x80091E58(2)
DUMPDRAWENV,0x80012564,2,5,5,0x80012564(2);0x8001AEA8(2);0x80029534(2);0x800845AC(2);0x80091CD8(2)
DUMPTPAGE,0x80011FC4,2,5,5,0x80011FC4(2);0x8001A8BC(2);0x80028F48(2);0x800840CC(2);0x800916EC(2)
DVL,0x8009E538,2,1,1,0x8009E538(2)
DVR,0x8009E544,2,1,1,0x8009E544(2)
DWorld,0x801A0E58,4,3,4,0x801A0E58(4);0x801A0F60(2);0x801A13E0(2)
DWorld2,0x801A1EE8,4,3,4,0x801A1EE8(4);0x801A1FF0(2);0x801A22A0(2)
DecDCTBufSize,0x80012FA8,2,5,5,0x80012FA8(2);0x800131C0(2);0x80023848(2);0x8003579C(2);0x80036DC8(2)
DecDCTGetEnv,0x80012E80,2,5,5,0x80012E80(2);0x8001309C(2);0x80023720(2);0x80035674(2);0x80036CA0(2)
DecDCTPutEnv,0x80012F0C,2,5,5,0x80012F0C(2);0x80013128(2);0x800237AC(2);0x80035700(2);0x80036D2C(2)
DecDCTReset,0x80012E48,2,5,5,0x80012E48(2);0x80013068(2);0x800236E8(2);0x8003563C(2);0x80036C68(2)
DecDCTin,0x80012FB4,2,5,5,0x80012FB4(2);0x800131CC(2);0x80023854(2);0x800357A8(2);0x80036DD4(2)
DecDCTinCallback,0x800130C8,2,6,6,0x800130C8(2);0x800132E0(2);0x80014840(2);0x80023968(2);0x800358BC(2);0x80036EE8(2)
